DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
041000001R,ECROU TOLE M6 X100 SA3GS,Validated,8,8,0,74,COMMANDES CHASSIS,X52,F10436,Fonction,MECANISME DE FREIN DE STATIONNEMENT,Renault,1,Projet,TT,,NA,NA,5,,0RDBA,NA,2,Valide, 	 ,18/01/2016,F10436/AY,NA,,PROTECTEUR MECANISME DE FREIN DE STATIONNEMENT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 041000001R,ECROU TOLE M6 X100 SA3GS,RMU,Renault,00APS,KYC,Renault, 	 ," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," EXT,REV,TAN,UGB,PAL,UPL,BUR,VAL,ORU,UAS,IKO,IPK,MOP,OCM,MAH,RMA,NSA,TOA,RSM,CHN,CAR,AGV,COR,LUT,NB1,MCA,DPE,LHA,NVU,HAM,ORA,WUH,PLS,IZH,SOV,VUC,TCM,BUM,MOT,TKD,SNY",,---,NA,S,71K,64Y,RENAULT SAS DEPOT RLT SOFRAS,5X,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--G,BE,--G,BE,NA,0.004,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--G,8,Non partagé
472103723R,ASSISTANCE M/CYL 9 23-8 ESP,Refused,2,4,0.5,83,FREINAGE,X79,F10035,Fonction,AMPLIFICATEUR DE FREINAGE,Renault,12,Projet,H79 PH1'  PH 2 / UK ET INDE 4X4,,NA,NA,2,,0INDE,NA,1,Valide, 	 ,17/08/2017,F10035/AA,NA,,ENSEMBLE MAITRE CYLINDRE AMPLIFICATEUR DE FREINAGE,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 472103723R,ASSISTANCE M/CYL 9 23-8 ESP,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,XPR,,,G0,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,2.5,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,8,
472105089R,ASSISTANCE M/CYL 9 22-2 ESP AFU,Validated,3,3,0,83,FREINAGE,X79,F10035,Fonction,AMPLIFICATEUR DE FREINAGE,Renault,12,Projet,H79 PH1'  PH 2 / UK ET INDE 4X4,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,17/08/2017,F10035/AA,NA,,ENSEMBLE MAITRE CYLINDRE AMPLIFICATEUR DE FREINAGE,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0INDE,Officielle,,,,BE,,NA,, 	 472105089R,ASSISTANCE M/CYL 9 22-2 ESP AFU,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," CHN,MOP",,RS-,NA,-,XPR,,BRAKES INDIA PRIVATE LIMITED,FW,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--B,BE,--B,BE,NA,2.4,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--B,6,
472107228R,ASSISTANCE M/CYL 9 23-8 ABS AFU,Refused,3,4,0.75,83,FREINAGE,X79,F10035,Fonction,AMPLIFICATEUR DE FREINAGE,Renault,18,Projet,H79 INDIA PH2  MY17,,NA,NA,3,,0INDE,NA,1,Valide, 	 ,17/08/2017,F10035/AA,NA,,ENSEMBLE MAITRE CYLINDRE AMPLIFICATEUR DE FREINAGE,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 472107228R,ASSISTANCE M/CYL 9 23-8 ABS AFU,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,XPR,,,UF,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,2.5,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,9,
472109598R,ASSISTANCE M/CYL 10 23-8 ESP AFU,Validated,1,1,0,83,FREINAGE,X52,F10035,Fonction,AMPLIFICATEUR DE FREINAGE,Renault,4,Projet,B52 RS MSU PHASE 1 & 2 / ABS / F4R .,,NA,NA,1,,RSPOR,NA,1,Valide, 	 ,12/09/2014,F10035/AA,NA,,ENSEMBLE MAITRE CYLINDRE AMPLIFICATEUR DE FREINAGE,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,RSPOR,Officielle,,,,BE,,NA,, 	 472109598R,ASSISTANCE M/CYL 10 23-8 ESP AFU,PIE,Renault,RSPOR,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,RSPOR,Officielle,UAS,,RSE,NA,-,XQL,,TRW AUTOMOTIVE,CN,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,pour projet L52 RS Russie,,,---,BE,---,BE,NA,2.51,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,---,1,Non partagé
474010229R,TUYAU ASSISTANCE FREINAGE,Validated,2,2,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,3,Projet,BKL52 /  K7M,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,12/06/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,OCM,IZH,ORA,UAS,TOA,RMA,MOP",0RDBA,Officielle,,,,BE,,NA,, 	 474010229R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," TAN,MOP,TOA,RMA,IZH,OCM,UAS,ORA,ORU,COR",,RS-,NA,-,300,140,AKWEL TIMISOARA ROMANIA S.R.,N6,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--A,BE,--A,BE,NA,0.021,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,Non partagé
474010431R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,7,Projet,BK52 / K9K / DD SAUF EURO6,,NA,NA,1,,65500,NA,1,Valide, 	 ,14/06/2012,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 474010431R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," MOP,TAN,CHN",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,KL,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,---,BE,---,BE,NA,0.041,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
474010756R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X79,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,15,Projet,H79 PH1' + PH2 F4R,,NA,NA,2,,0RDBA,NA,1,Valide, 	 ,24/03/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," OCM,ORU,MOP",0RDBA,Officielle,,,,BE,,NA,, 	 474010756R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,MOP,OCM",,RS-,NA,-,XPR,,NOBEL AUTOMOTIVE RUSYA,NM,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,,,,---,BE,---,BE,NA,0.032,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,Non partagé
474010848R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X79,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,20,Projet,H79 PH1' H4M EU6 DAD ROUMANIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2014,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 474010848R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,MOP,,RS-,NA,-,300,,AKWEL TIMISOARA ROMANIA S.R.,JJ,,Oui,NA,NA,Prestations Véhicules et Organes,Dépollution / Substances,,,,---,BE,---,BE,NA,0.064,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,6,Non partagé
474011116R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,14,Projet,BKL52 / K9K / DG / EURO6,,NA,NA,2,,0M000,NA,1,Valide, 	 ,20/06/2017,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," RMA,MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 474011116R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP,RMA",,RS-,NA,-,300,,AKWEL TIMISOARA ROMANIA S.R.,3S,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.035,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
474011334R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,21,Projet,BL52 H4M JA,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,TOA,0M000,Officielle,,,,BE,,NA,, 	 474011334R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,TOA,UAS,MOP,COR,VUC",,RS-,NA,-,300,,NOBEL AUTOMOTIVE RUSYA,67,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,0.036,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,Non partagé
474011342R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,5,Projet,BK52 / H4B / DD SAUF EURO6,,NA,NA,1,,65500,NA,1,Valide, 	 ,14/06/2012,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 474011342R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," MOP,TAN",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,8P,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,---,BE,---,BE,NA,0.057,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
474011583R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,8,Projet,BKL52 / K4M / DG,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,12/06/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,MOP,OCM,RMA,UAS,TOA",0RDBA,Officielle,,,,BE,,NA,, 	 474011583R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TOA,RMA,TAN,OCM,UAS,MOP,COR,VUC",,RS-,NA,-,300,,AKWEL TIMISOARA ROMANIA S.R.,JB,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,Initialisation par PDP,,,--A,BE,--A,BE,NA,0.021,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,Non partagé
474011596R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X79,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,26,Projet,H79 PH2 H4K SSESP,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,11/08/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 474011596R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,,,VOSS AUTOMOTIVE INDIA PVT LT,ND,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.047,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,3,Non partagé
474012654R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,18,Projet,BK52 PH2 B4D DD S&S,,NA,NA,1,,0M000,NA,1,Valide, 	 ,02/11/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 474012654R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,TAN",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,RK,,Oui,NA,NA,Inducteurs Spécifiques,Non définie,,,,---,BE,---,BE,NA,0.106,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,Non partagé
474012933R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,20,Projet,B52 RS MSU - F4R / DG .,,NA,NA,1,,RSPOR,NA,1,Valide, 	 ,20/01/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,RSPOR,Officielle,,,,BE,,NA,, 	 474012933R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,VUC",,RS-,NA,-,XPR,,AKWEL JUNDIAI BRASIL INDUS.D,D8,474010756R,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.027,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
474013025R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X79,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,25,Projet,H79 PH2 DD H5F EURO 6,,NA,NA,1,,0M000,NA,1,Valide, 	 ,24/04/2015,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 474013025R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,MOP,,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,95,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.077,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
474013161R,TUYAU ASSISTANCE FREINAGE,Validated,2,2,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,10,Projet,BKL52 / D4F / DG / EURO6,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2014,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 474013161R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,TAN",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,JT,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.041,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--A,8,Non partagé
474014441R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X79,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,19,Projet,H79 PH2 H5F DG EURO6,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2014,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 474014441R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,MOP,,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,RN,,Oui,NA,NA,Inducteurs Spécifiques,Spécifique prototype,,,,---,BE,---,BE,NA,0.053,Pesée pièce proto,,,Plan et Num 3D obligatoires,Renault,Plan,---,6,Non partagé
474014485R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,15,Projet,BK52 / K9K / DD / EURO6,,NA,NA,2,,0M000,NA,1,Valide, 	 ,11/02/2016,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 474014485R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,5K,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.088,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
474015951R,TUYAU ASSISTANCE FREINAGE,Refused,1,3,0.3333333333333333,83,FREINAGE,X79,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,23,Projet,H79 INDIA PH2 DD K9K,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,01/12/2014,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 474015951R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R-E,NA,-,XPR,,VOSS AUTOMOTIVE INDIA PVT LT,3W,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.048,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,3,
474016217R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,23,Projet,X52 BR10,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,10/04/2019,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," RMA,ORA,MOP,UAS",0M000,Officielle,,,,BE,,NA,, 	 474016217R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,MOP,RMA,ORA",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,MB,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.053,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,Non partagé
474016415R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,12,Projet,BKL52 / H4B / DG / EURO6,,NA,NA,1,,0M000,NA,1,Valide, 	 ,08/11/2017,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," ORA,RMA,MOP,TAN",0B000,Officielle,,,,BE,,NA,, 	 474016415R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP,RMA,ORA",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,HH,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.052,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--B,6,Non partagé
474016698R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,11,Projet,BK52 / D4F / DD / EURO6,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2014,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 474016698R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,7E,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.042,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,6,Non partagé
474017463R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,13,Projet,BK52 / H4B / DD / EURO6,,NA,NA,1,,0M000,NA,1,Valide, 	 ,22/01/2014,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,TAN",0M000,Officielle,,,,BE,,NA,, 	 474017463R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TAN,MOP",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,GK,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.067,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,6,Non partagé
474017627R,TUYAU ASSISTANCE FREINAGE,Validated,1,1,0,83,FREINAGE,X52,F10177,Fonction,CIRCUIT DEPRESSION ENTRE MOTEUR ET ASSISTANCE DE FREINAGE,Renault,2,Projet,BKL52 / D4F / DD SAUF EURO6,,NA,NA,1,,65500,NA,1,Valide, 	 ,14/06/2012,F10177/AJ,NA,,TUYAU DEPRESSION ADF,8708.3,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,MOP",0M000,Officielle,,,,BE,,NA,, 	 474017627R,TUYAU ASSISTANCE FREINAGE,PIE,Renault,65500,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65500,Officielle," MOP,TAN",,RS-,NA,-,XPR,,AKWEL TIMISOARA ROMANIA S.R.,25,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,---,BE,---,BE,NA,0.033,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,Non partagé
