DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
100030865,RENFORT AR TETE ESSIEU G,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,5,Valide, 	 ,08/03/2018,F15652/AE,NA,,RENFORT LAT DE TETE ESSIEU AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178428R,RENFORT AR TETE ESSIEU D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,9F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--K,10,
2D0029958P,CABLAGE MOTEUR K9K,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,X79,F10130,Fonction,CABLAGE MOTEUR K,Renault,D4,Projet,H79 BS6 K9K INDE,,NA,NA,3,,0INDE,NA,1,Valide, 	 ,04/03/2019,F10130/AA,NA,,CABLAGE MOTEUR K,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 240111209S,CABLAGE MOTEUR,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,---,NA,-,WAZ,,,P2,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,3.556,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,---,4,
2D0030286P,AMORTISSEUR AR,Refused,1,2,0.5,85,SUSPENSIONS - FILTRATION,X79,F15656,Fonction,AMORTISSEUR AR,Renault,1,Projet,H79 4X2,,NA,NA,3,UAS,0RDBA,NA,1,Valide, 	 ,12/06/2017,F15656/AA,NA,,AMORTISSEUR AR D,8708.8,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 562107387R,AMORTISSEUR AR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,UAS,,R--,NA,Y,XNR,,MAGNETI MARELLI COFAP CIA FA,29,,Oui,NA,NA,Inducteurs Spécifiques,Evolution du process,,,,---,BE,---,BE,NA,2.275,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0030303P,AMORTISSEUR AR,Validated,1,1,0,85,SUSPENSIONS - FILTRATION,XHA,F15656,Fonction,AMORTISSEUR AR,Renault,3,Projet,HHA CURITIBA,,NA,NA,2,UAS,0RDBA,NA,1,Valide, 	 ,12/06/2017,F15656/AA,NA,,AMORTISSEUR AR D,8708.8,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 562101658R,AMORTISSEUR AR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,UAS,,R--,NA,-,XNR,,MAGNETI MARELLI COFAP CIA FA,JC,,Oui,NA,NA,Inducteurs Spécifiques,Evolution du process,,,,---,BE,---,BE,NA,2.275,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0030339P,ENJOLIVEUR MONTANT AV PORTE AR,Validated,1,1,0,41,ACCESSOIRES EXT - BOUCLIERS - BAGUETTES,X52,F10297,Fonction,ENJOLIVEUR DE MONTANT DE PORTES AR,Renault,1,Projet," X52 PH1// PH2 RUSSIA, L52 SL TRANSVERSALE PH1",,NA,NA,3,,0M000,NA,1,Valide, 	 ,20/10/2017,F10297/AL,NA,,ENJOLIVEUR AV DE PANNEAU EXT DE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," IZH,OCM,RMA,MOP",0M000,Officielle,,,,BE,,NA,, 	 822830504R,ENJOLIVEUR MONTANT AV PORTE AR D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," TOA,MOP,RMA,TAN,IZH,OCM,UAS,ORU",,---,NA,-,YJ0,,ADHEX TECHNOLOGIES SAS,KD,,Oui,NA,NA,Inducteurs Spécifiques,Evolution du process,,,,--B,BE,--B,BE,NA,0.016,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030450P,TRANSMISSION AV G,Validated,1,1,0,B2,TRANSMISSION,X79,ASS002012,Fonction,TRANSMISSION AV G ASS,Renault,21,Projet,FK0*006 - H5H,,NA,NA,1,,31LOS,NA,1,Valide, 	 ,25/04/2019,ASS002012,NA,,TRANSMISSION AV G ASS,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,31LOS,Officielle,,,,BE,,NA,, 	 391013802R,TRANSMISSION AV G,PIE,Renault,31MAA,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,31MAA,Officielle," UAS,CHN,ORU,OCM",,-S-,NA,-,,,NTN TRANSMISSIONS EUROPE,M5,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,7.19,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030454P,ARBRE RELAIS TRANSMISSION,Validated,1,1,0,B2,TRANSMISSION,X79,F12027,Fonction,ARBRE RELAIS DE TRANSMISSION TRANSVERSAL AV,Renault,4,Projet,X79 / K9K H5F H4M K4M / TL8,,NA,NA,3,,0B000,NA,1,Valide, 	 ,20/12/2018,F12027/AA,NA,,ARBRE RELAIS DU JOINT COTE DE TRANSMISSION AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," ORU,MOP,CHN",0B000,Officielle,,,,BE,,NA,, 	 397500128R,ARBRE RELAIS TRANSMISSION,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0B000,Officielle," ORU,MOP,CHN,OCM",,---,NA,-,,,NTN TRANSMISSIONS EUROPE,8D,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,2.74,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030463P,ARBRE RELAIS TRANSMISSION,Validated,1,1,0,B2,TRANSMISSION,X79,F12027,Fonction,ARBRE RELAIS DE TRANSMISSION TRANSVERSAL AV,Renault,1,Projet," MOTEUR K9K,K4M , TL8 4X4",,NA,NA,6,,0B000,NA,1,Valide, 	 ,20/12/2018,F12027/AA,NA,,ARBRE RELAIS DU JOINT COTE DE TRANSMISSION AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," VUC,UAS,ORU,OCM",0B000,Officielle,,,,BE,,NA,, 	 397501702R,ARBRE RELAIS TRANSMISSION,PIE,Renault,0B000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0B000,Officielle," ORU,OCM,UAS,VUC",,---,NA,-,,,NTN TRANSMISSIONS EUROPE,7L,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,2.91,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030465P,GARNITURE CUSTODE G,Refused,1,2,0.5,62,HABILLAGE INTERIEUR,X52,F10356,Fonction,GARNITURE DE CUSTODE,Renault,14,Projet,L52 PH2 MERCOS,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,28/09/2018,F10356/AA,NA,,GARNITURE 1 DE CUSTODE D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,UAS",0RDBA,Officielle,,,,BE,,NA,, 	 769348924R,GARNITURE CUSTODE D,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,COR",,R--,NA,-,320,,MEGATECH BRASIL COMP. AUTOMO,LE,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),Initialisation par PDP,,,---,BE,---,BE,NA,0.359,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0030466P,ARBRE RELAIS TRANSMISSION,Validated,1,1,0,B2,TRANSMISSION,X79,F12027,Fonction,ARBRE RELAIS DE TRANSMISSION TRANSVERSAL AV,Renault,2,Projet," MOTEUR F4R ,  DP8 4X4",,NA,NA,4,,31MAA,NA,1,Valide, 	 ,20/12/2018,R3970016-,NA,,ARBRE RELAIS DU JOINT COTE DE TRANSMISSION AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," MOP,ORU",31MAA,Officielle,,,,BE,,NA,, 	 397503194R,ARBRE RELAIS TRANSMISSION,PIE,Renault,31MAA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,31MAA,Officielle," ORU,MOP",,---,NA,-,,,AUTOMOBILE DACIA S.A. ACHATS,E2,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,NA,2.57,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030616P,ALTERNATEUR,Validated,1,1,0,92,ELECTROTECHNIQUE,X79,F11786,Fonction,ALTERNATEUR,Renault,50,Projet,H79 BS6 K9K INDE,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,09/07/2018,F11786/AA,NA,,ALTERNATEUR,8511.5,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 231008918R,ALTERNATEUR,PIE,Renault,65680,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65680,Officielle," VAL,BUR,UPL,REV,ORA,CHN",,R-E,NA,-,,,VALEO OTOMOTIV SISTEMLERI EN,V4,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,6.22,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030649P,GARNITURE PANNEAU PORTE AR G,Validated,1,1,0,62,HABILLAGE INTERIEUR,X79,F10359,Fonction,GARNITURE DE PANNEAU DE PORTE AR,Renault,A7,Projet,MY19 DOOR PANELS E1 AVTOFRAMOS,,NA,NA,1,ORU,0M000,NA,1,Valide, 	 ,09/11/2018,F10359/AC,NA,,GARNITURE DE PANNEAU PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 829A07177R,GARNITURE PANNEAU PORTE AR D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,RQE,NA,-,,,FAURECIA AUTOMOTIVE DEVELOPM,SL,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,1.33,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0030757P,COIFFE DOSSIER SIEGE AR 1/3,Validated,1,1,0,63,SIEGES,X79,F10601,Fonction,SIEGE 2EME RANGEE,Renault,BT,Projet," H79/ENPB01/PRUPTI/E0,E1/2ATRPH/FBANAR",,NA,NA,4,ORU,0INDE,NA,25,Valide, 	 ,12/07/2019,F10601/BP,NA,,GARNITURE DE DOSSIER D SIEGE 2EME RNG,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0INDE,Officielle,,,,BE,,NA,, 	 886207211R,COIFFE DOSSIER SIEGE AR 1/3,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,MARTUR AUTO. SEATING AND INT,FU,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.375,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0030760P,COIFFE COUSSIN SIEGE AR,Validated,1,1,0,63,SIEGES,X79,F10601,Fonction,SIEGE 2EME RANGEE,Renault,BT,Projet," H79/ENPB01/PRUPTI/E0,E1/2ATRPH/FBANAR",,NA,NA,4,ORU,0INDE,NA,4,Valide, 	 ,12/07/2019,F10601/BR,NA,,GARNITURE DE COUSSIN SIEGE 2EME RNG,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0INDE,Officielle,,,,BE,,NA,, 	 883202509R,COIFFE COUSSIN SIEGE AR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,MARTUR AUTO. SEATING AND INT,1F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.595,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0030763P,COIFFE DOSSIER SIEGE AR 2/3,Validated,1,1,0,63,SIEGES,X79,F10601,Fonction,SIEGE 2EME RANGEE,Renault,BT,Projet," H79/ENPB01/PRUPTI/E0,E1/2ATRPH/FBANAR",,NA,NA,4,ORU,0INDE,NA,26,Valide, 	 ,12/07/2019,F10601/BQ,NA,,GARNITURE DE DOSSIER G SIEGE 2EME RNG,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0INDE,Officielle,,,,BE,,NA,, 	 886204082R,COIFFE DOSSIER SIEGE AR 2/3,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,MARTUR AUTO. SEATING AND INT,PB,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.585,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0030764P,COIFFE DOSSIER SIEGE AR 2/3,Validated,1,1,0,63,SIEGES,X79,F10601,Fonction,SIEGE 2EME RANGEE,Renault,BU,Projet,H79/ENPB01/PRUPTI/E1/3ATRPH/FBANAR,,NA,NA,4,ORU,0INDE,NA,26,Valide, 	 ,12/07/2019,F10601/BQ,NA,,GARNITURE DE DOSSIER G SIEGE 2EME RNG,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0INDE,Officielle,,,,BE,,NA,, 	 886207489R,COIFFE DOSSIER SIEGE AR 2/3,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,MARTUR AUTO. SEATING AND INT,46,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.585,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0030944P,CALCULATEUR UNITE CTL HABITACLE,Refused,1,2,0.5,91,SYSTEMES DISTRIBUTION ELECTRIQUE,X79,F11226,Fonction,UNITE CTL HABITACLE,Renault,24,Projet,H79 MY 2019 RUSSIE,,NA,NA,3,,0M000,NA,1,Valide, 	 ,20/06/2018,F11226/AA,NA,,CALCULATEUR 1 UNITE CTL HABITACLE,9032.89,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 284B15234R,CALCULATEUR UNITE CTL HABITACLE,PIE,Renault,0M000,KZ4,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," ORU,CHN",,RSE,NA,-,,,CONTINENTAL AUTOMOTIVE C. R.,UL,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.193,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,---,2,
2D0031011P,ANTIVOL ELECTRIQUE,Refused,2,3,0.6666666666666666,31,ACCES - PROTECTION VEHICULE,XHA,F13389,Fonction,OUVERTURE ET DEMARRAGE AVEC BADGE,Renault,6,Projet,HHA PH2,,NA,NA,6,,0RDBA,NA,4,Valide, 	 ,12/07/2019,F13389/AD,NA,,VERROU ELECTRIQUE DE COLONNE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0RDBA,Officielle,,,,BE,,NA,, 	 487008065R,ANTIVOL ELECTRIQUE,PIE,Renault,65400,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,65400,Officielle," REV,UPL,BUR,VAL,ORU,MOP,LHA,ORA,CHN,RMA,MCA,TAN",,RSE,NA,-,WGZ,,MARQUARDT GMBH,AL,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.308,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,4,
2D0031142P,GUIDE JAUGE HUILE BV,Validated,2,2,0,B6," LUBRIFICATION BV,PONT & MODULE DE RENVOI",XHA,F11847,Fonction,CONTROLE DU NIVEAU D' HUILE DE LA BOITE DE VITESSES,Renault,3,Projet,HHA / H5H / FK0,,NA,NA,4,,31LOS,NA,2,Valide, 	 ,13/02/2019,F11847/AB,NA,,GUIDE JAUGE A HUILE DE LA BOITE DE VITESSES,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," UAS,ORU",31MAA,Officielle,,,,BE,,NA,, 	 310804053R,GUIDE JAUGE HUILE BV,PIE,Renault,31LOS,KYC,Renault, 	 ," PCE Pièce, Unité",,,,EXT,31LOS,Officielle," ORU,OCM,UAS",,---,NA,-,,,ORAU ORHAN OTOMOTIV KONTROL,XR,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.193,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,2,
2D0031310P,TUYAU ENTREE RESERVOIR DEGAZAGE,Refused,1,2,0.5,73,REFROIDISSEMENT GMP,X52,F15782,Fonction,CIRCUIT EAU DE REFROIDISSEMENT ET CHAUFFAGE,Renault,47,Projet,X52 PH2 H4M SOFASA,,NA,NA,2,,0RDBA,NA,5,Valide, 	 ,06/12/2018,F15782/AE,NA,,TUYAU 1 ENTREE RESERVOIR DE DEGAZAGE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 217410580R,TUYAU ENTREE RESERVOIR DEGAZAGE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,COR,OCM",,---,NA,-,13Z,,HBA HUTCHINSON BRASIL AUTOMO,91,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.083,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0031311P,TUYAU SORTIE RESERVOIR DEGAZAGE,Validated,1,1,0,73,REFROIDISSEMENT GMP,X52,F15782,Fonction,CIRCUIT EAU DE REFROIDISSEMENT ET CHAUFFAGE,Renault,47,Projet,X52 PH2 H4M SOFASA,,NA,NA,2,,0RDBA,NA,6,Valide, 	 ,06/12/2018,F15782/BX,NA,,TUYAU ENTRE RADIATEUR ET RESERVOIR DE DEGAZAGE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 217414411R,TUYAU SORTIE RESERVOIR DEGAZAGE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,COR,OCM",,---,NA,-,13Z,,HBA HUTCHINSON BRASIL AUTOMO,PU,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.083,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0031436P,APPUI-TETE AV,Refused,1,2,0.5,63,SIEGES,X79,F16192,Fonction,APPUI-TETE 1ERE RNG,Renault,39,Projet,H79 ENPB01 SLAD3,,NA,NA,1,,0M000,NA,1,Valide, 	 ,31/05/2018,F16192/AA,NA,,APPUI-TETE G 1ERE RANGEE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 864006876R,APPUI-TETE AV,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,RS-,NA,-,,,TREVES - ISKOSH LLC,Z2,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Changement de fournisseur,,,,---,BE,---,BE,NA,0.611,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
2D0031447P,TABLEAU BORD,Validated,1,1,0,95,MULTIMEDIA ET AFFICHAGES,XHA,F10668,Fonction,TABLEAU BORD,Renault,7,Projet,HHA H4K INDIA MY19,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,23/08/2018,F10668/AA,NA,,TABLEAU BORD,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 248106447R,TABLEAU BORD,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R-E,NA,-,,,,D8,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,0.6,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,1,
2D0031451P,COIFFE DOSSIER SJ AV G,Validated,1,1,0,63,SIEGES,X79,F10603,Fonction,SIEGE D 1ERE RNG,Renault,C8,Projet,H79/ENPB01/PRUPTI/E0/SABLAV,,NA,NA,5,ORU,0M000,NA,4,Valide, 	 ,22/01/2019,F10603/AT,NA,,GARNITURE DE DOSSIER DE SIEGE D 1ERE RNG,6307.9,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 876203981R,COIFFE DOSSIER SJ AV D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,FAURECIA AUTOMOTIVE DEVELOPM,BR,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.567,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0031466P,COIFFE COUSSIN SJ AV G,Validated,1,1,0,63,SIEGES,X79,F10603,Fonction,SIEGE D 1ERE RNG,Renault,C8,Projet,H79/ENPB01/PRUPTI/E0/SABLAV,,NA,NA,5,ORU,0M000,NA,3,Valide, 	 ,22/01/2019,F10603/AU,NA,,GARNITURE DE COUSSIN DE SIEGE D 1ERE RNG,6307.9,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 873204684R,COIFFE COUSSIN SJ AV D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,FAURECIA AUTOMOTIVE DEVELOPM,BD,,Oui,NA,NA,Prestations Véhicules et Organes,Evolution règlementaire,,,,---,BE,---,BE,NA,0.279,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0031468P,COIFFE COUSSIN SJ AV G,Validated,1,1,0,63,SIEGES,X79,F10603,Fonction,SIEGE D 1ERE RNG,Renault,C9,Projet,H79/ENPB01/PRUPTI/E1/SABLAV/SGSCHA,,NA,NA,4,ORU,0M000,NA,3,Valide, 	 ,22/01/2019,F10603/AU,NA,,GARNITURE DE COUSSIN DE SIEGE D 1ERE RNG,6307.9,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 873206118R,COIFFE COUSSIN SJ AV D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,R--,NA,-,,,FAURECIA AUTOMOTIVE DEVELOPM,ZJ,,Oui,NA,NA,Prestations Véhicules et Organes,Evolution règlementaire,,,,---,BE,---,BE,NA,0.3,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,
2D0031603P,BARRE ANTIDEVERS AV,Refused,2,3,0.6666666666666666,85,SUSPENSIONS - FILTRATION,X79,F15674,Fonction,ANTIDEVERS ADDITIONNEL DE TRAIN AV,Renault,8,Projet,H79/DD/ENPG04,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,12/09/2018,F15674/AA,NA,,BARRE ANTIDEVERS DE TRAIN AV,8708.8,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 546112055R,BARRE ANTIDEVERS AV,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,---,NA,-,,,,FY,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,3.734,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,3,
